fips,age_adjusted
13137,831.6
13139,786.1
13141,946.3
13143,1083.8
13145,740.2
13147,880
13149,957
13151,864.8
13153,856.2
13155,946.5
13157,960.5
13159,920.7
13161,1109.8
13163,1117.4
13165,1025.5
13167,903.7
13169,792.9
13171,1021.8
13173,950
13175,966.7
13177,876.5
13179,902.6
13181,934.8
13183,796.2
13185,936.6
13187,835.9
13189,1054.6
13191,719
13193,1063.1
13195,960.2
13197,908.5
13199,1001.7
13201,1007.3
13205,996.4
13207,850.3
13209,993.1
13211,823.3
13213,983.4
13215,1008.4
13217,906.8
13219,694.5
13221,806.7
13223,806.4
13225,1085.3
13227,845.6
13229,1017.4
13231,940.1
13233,1099
13235,847.7
13237,844.2
13239,911.8
13241,824.4
13243,953.1
13245,1047.6
13247,830.3
13249,836
13251,995.7
13253,1017.3
13255,1015.1
13257,1094.9
13259,986.1
13261,1011.8
13263,1034.2
13265,984
13267,1020
13269,1002.8
13271,868.2
13273,1044.5
13275,954.2
13277,970
13279,1038.1
13281,800.1
13283,1003.9
13285,980.4
13287,1077.7
13289,1040
13291,770.3
13293,1112
13295,995.7
13297,892.6
13299,1043
13301,1039.3
13303,974.1
13305,1035.1
13307,735.1
13309,841.9
13311,788.6
13313,871.2
13315,984.6
13317,970.8
13319,1014.5
13321,900.7
15001,668.4
15003,601.9
15005,447.6
15007,613.3
15009,601.7
16001,690.2
16003,655.6
16005,854.4
16007,797.3
16009,946.8
16011,807.9
16013,493.7
16015,604
16017,745.1
16019,806.1
16021,778.6
16023,777.9
16025,576.7
16027,765.3
16029,797.6
16031,802.4
16033,704.9
16035,777.2
16037,670.2
16039,818.1
16041,712.8
16043,755.1
16045,834.3
16047,788.6
16049,715.3
16051,717.4
16053,789.5
16055,744.9
16057,642.3
16059,775.9
16061,745.1
16063,792.9
16065,733.5
16067,794.1
16069,836.2
16071,695.1
16073,764.6
16075,797.9
16077,809.2
16079,970.6
16081,589.2
16083,822.9
16085,592.5
16087,781.5
17001,820.6
17003,1046.7
17005,799.2
17007,743.8
17009,808.8
17011,770.1
17013,753.2
17015,781.2
17017,892.2
17019,697.9
17021,854.2
17023,889.6
17025,879.4
17027,747.6
17029,835.8
17031,783.4
17033,853.2
17035,790.3
17037,758.6
17039,900.7
17041,779.5
17043,639.4
17045,898.8
17047,848.3
17049,805.8
17051,810.6
17053,916.6
17055,999.5
17057,875.3
17059,1003
17061,878.6
17063,817.6
17065,843.6
17067,718.5
17069,1037.7
17071,765.7
17073,773.5
17075,870.5
17077,814.9
17079,747.9
17081,880.6
17083,871.2
17085,668.6
17087,819.7
17089,679.1
17091,890.2
17093,662.4
17095,886.9
17097,676.5
17099,850.9
17101,942.1
17103,814.8
17105,835.3
17107,847
17109,779.6
17111,737.3
17113,733.1
17115,835.7
17117,857.4
17119,879.6
17121,945.1
17123,853.3
17125,894.9
17127,950.8
17129,790.9
17131,764.8
17133,705.1
17135,844.8
17137,834
17139,859.9
17141,761.7
17143,827.3
17145,862
17147,746.9
17149,817.8
17151,781.4
17153,1013.5
17155,716.6
17157,854.5
17159,822.9
17161,797.2
17163,899.2
17165,1068.7
17167,813
17169,805.5
17171,806.6
17173,731.8
17175,860.1
17177,758.5
17179,801.1
17181,940.4
17183,936.6
17185,785.9
17187,818.8
17189,782.2
17191,854.7
17193,942.1
17195,800.8
17197,741.4
17199,900
17201,825.5
17203,723.5
18001,737.9
18003,811.4
18005,833.3
18007,809.6
18009,904.8
18011,826.2
18013,762.8
18015,722.2
18017,863
18019,960.6
18021,937.6
18023,886
18025,950.9
18027,890.8
18029,830.6
18031,861.7
18033,845.7
18035,917
18037,777.9
18039,784.9
18041,1006.9
18043,916.2
18045,898.8
18047,779.8
18049,897.9
18051,845.6
18053,940.3
18055,902.7
18057,650.5
18059,805.7
18061,843.8
18063,752.6
18065,927.4
18067,924.1
18069,867.7
18071,925.3
18073,828.6
18075,905.3
18077,942.6
18079,984.7
18081,843.5
18083,954.5
18085,795.2
18087,747.3
18089,896.6
18091,896.8
18093,904.7
18095,927.2
18097,916
18099,782.8
18101,862.3
18103,855.4
18105,723.8
18107,843.3
18109,911.4
18111,878.8
18113,852.9
18115,806.3
18117,932
18119,954.3
18121,783.8
18123,846.6
18125,889
18127,803.8
18129,786.3
18131,905.6
18133,822.8
18135,858
18137,839.3
18139,878.6
18141,833.6
18143,1149.3
18145,864.6
18147,781.3
18149,1034.5
18151,768.2
18153,959.4
18155,885.6
18157,778.2
18159,795.5
18161,848.2
18163,887.5
18165,981
18167,949.4
18169,867
18171,799.6
18173,812.1
18175,953
18177,949.4
18179,770.9
18181,847
18183,772.8
19001,775.7
19003,758.6
19005,758.2
19007,847.6
19009,731.3
19011,683.9
19013,767.3
19015,800.8
19017,631.6
19019,764.5
19021,675.7
19023,750.1
19025,749.9
19027,709.4
19029,833.1
19031,644.1
19033,775.1
19035,731.3
19037,712.8
19039,824
19041,710.8
19043,700.9
19045,820.1
19047,709.5
19049,641.1
19051,739.1
19053,791.1
19055,682.2
19057,775.3
19059,653.5
19061,726.9
19063,761.3
19065,768.1
19067,740.3
19069,722.5
19071,793.2
19073,739.6
19075,683.1
19077,735.5
19079,714.5
19081,676.4
19083,751.6
19085,873.2
19087,778.4
19089,742.2
19091,707.2
19093,798.2
19095,711.4
19097,756.2
19099,737.3
19101,698.8
19103,607.9
19105,671.8
19107,716
19109,655.8
19111,880.4
19113,705.3
19115,771.8
19117,760.5
19119,666.2
19121,745.2
19123,735.5
19125,762
19127,881.2
19129,813.3
19131,660.2
